Taille,moyenne,maximum
1000,2.19508,3.1747
5000,13.77536,20.043
10000,20.15834,25.8616
20000,62.35756,137.3145
50000,98.97242,162.82649
80000,227.44373,275.76578
120000,229.88785,322.93179
200000,471.04108,572.34363
