Taille,moyenne,maximum
1000,0.04938,2.5371
5000,0.0264,11.4106
10000,0.02532,8.6993
20000,0.03145,9.9525
50000,0.03973,26.4763
80000,0.03285,10.8915
120000,0.03757,13.6408
200000,0.04058,36.8276
