Taille,moyenne,maximum
1000,9.74228,42.2165
5000,3.76576,11.1945
10000,1.80194,2.1996
20000,2.12828,2.9881
50000,1.6358,2.5776
80000,1.45248,1.7191
120000,7.66946,25.9123
200000,2.46694,6.3352
