Taille,moyenne_tas,maximum_tas,moyenne_file,max_file
100,47.25562,110.5357,58.11906,68.0273
200,27.30892,30.6859,55.30166,86.3096
500,28.38458,33.3978,49.83646,58.9799
1000,30.38284,37.0919,53.15076,73.6433
5000,27.41676,32.7233,54.44996,76.10471
10000,32.01688,38.1564,55.75332,65.7195
20000,31.62674,43.0368,63.90768,90.7121
