Taille,moyenne,maximum
1000,5.54634,15.4484
5000,24.22348,49.8027
10000,36.95862,54.6291
20000,81.19179,197.15289
50000,196.33672,294.64133
80000,416.01553,655.49231
120000,647.46838,1075.77185
200000,1211.64087,2473.58154
