Taille,moyenne,maximum
1000,1.80628,7.0667
5000,3.37396,8.1422
10000,8.71816,23.3045
20000,15.99184,43.5478
50000,38.46682,44.0728
80000,36.05466,44.3467
120000,67.5609,87.66769
200000,127.8995,197.02179
