Taille,moyenne,maximum
1000,0.06472,9.4239
5000,0.03643,7.274
10000,0.04505,45.404
20000,0.04376,8.8061
50000,0.04273,42.8209
80000,0.04462,30.0071
120000,0.05271,31.9938
200000,0.05865,44.1726
