Taille,moyenne,maximum
1000,0.34766,0.3836
5000,1.86222,2.4336
10000,3.63132,4.2471
20000,8.2332,9.6353
50000,17.5935,20.0173
80000,38.25522,47.2011
120000,55.43896,84.5052
200000,86.93024,122.9648
