Taille,moyenne_tas,maximum_tas,moyenne_file,max_file
100,0.04464,0.5525,0.10221,1.4028
200,0.03342,0.8513,0.02371,0.2237
500,0.04202,1.89,0.06423,9.0479
1000,0.06623,7.1884,0.02873,4.1505
5000,0.03665,5.9813,0.02085,8.5631
10000,0.03816,13.8238,0.02038,9.4283
20000,0.03739,14.4036,0.02042,43.4568
