Taille,moyenne,maximum
1000,0.02396,1.2521
5000,0.03384,5.9367
10000,0.02794,7.8607
20000,0.02344,13.1652
50000,0.03148,39.8101
80000,0.02665,21.8025
120000,0.02756,13.0648
200000,0.02622,37.857
