Taille,moyenne,maximum
1000,16.15664,78.8703
5000,5.20782,14.7893
10000,40.20532,161.1976
20000,14.90518,23.0963
50000,29.7727,48.8553
80000,64.14632,131.4256
120000,85.09642,136.23741
200000,111.67395,130.7003
