Taille,moyenne,maximum
1000,5.81319,12.7334
5000,15.7782,27.9276
10000,28.35343,44.966
20000,51.29706,58.0183
50000,159.45798,219.13661
80000,256.52484,367.01279
120000,399.28088,499.6098
200000,785.89221,995.56445
