Taille,moyenne,maximum
1000,0.02341,1.3178
5000,0.01479,0.5908
10000,0.01132,3.4623
20000,0.01014,2.9423
50000,0.01518,48.1157
80000,0.00912,3.4203
120000,0.01102,30.5896
200000,0.008,10.999
